Key,Issue Type,Summary,Status,Parent,Labels,Sprint,Start Date,Due Date,Story Points,Priority,URL
LCSP-113,Task,MW-scan-py-001: Scanner Workspace Setup and Materialization,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-4,LCSP Sprint 2,2026-07-15,2026-07-16,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-113
LCSP-114,Task,MW-scan-py-002: Syft SBOM Tool Wrapper,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-16,2026-07-17,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-114
LCSP-115,Task,MW-scan-py-003: Semgrep AI Usage Rules Tool,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-17,2026-07-17,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-115
LCSP-116,Task,MW-scan-py-004: Evidence Report Assembly and Callback,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-24,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-116
LCSP-117,Task,MW-scan-py-005: Knip + deptry Dependency Usage Analysis Tool,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-13,2026-07-14,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-117
LCSP-118,Task,MW-scan-py-006: Python AST/CST Analyzer (Bounded L0–L3),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-20,2026-07-21,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-118
LCSP-119,Task,MW-scan-py-007: TS/JS Subprocess Bridge (ts-morph),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-21,2026-07-22,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-119
LCSP-120,Task,MW-scan-py-008: Semgrep Full AI Ruleset,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-22,2026-07-23,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-120
LCSP-121,Task,MW-scan-py-009: AI Invocation Detector (Signal Fusion + 20 Finding Types + Confidence),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-23,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-121
LCSP-122,Task,MW-scan-py-010: Decision Flow Tracer,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-28,2026-07-29,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-122
LCSP-123,Task,MW-scan-py-011: Evidence Graph Assembler,Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-29,2026-07-30,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-123
LCSP-124,Task,"MW-scan-py-012: Schema, Privacy, and Quality Gates",Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-08-05,2026-08-06,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-124
LCSP-125,Task,MW-scan-py-013: Manifest and Configuration Parser (Pipeline Step 5),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-14,2026-07-15,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-125
LCSP-126,Task,MW-scan-py-014: Language Classifier and Analyzer Router (Pipeline Step 8),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-24,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-126
LCSP-127,Task,MW-scan-py-015: Tree-sitter Structural Augmentation (Pipeline Step 11),Backlog,LCSP-20,bmad;lcsp;module-python-workers-scanner;module-task;p1;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-24,2026-07-24,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-127
LCSP-128,Task,MW-qa-001: Auth Integration Test Suite,Ready For Dev,LCSP-21,bmad;lcsp;module-qa;module-task;p0;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-14,2026-07-15,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-128
LCSP-129,Task,MW-qa-002: Python Scanner Unit Tests,Backlog,LCSP-21,bmad;lcsp;module-qa;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-07-23,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-129
LCSP-130,Task,MW-qa-003: E2E Manager Golden Path Test,Ready For Dev,LCSP-21,bmad;lcsp;module-qa;module-task;p1;ready-for-dev;story-2-1,LCSP Sprint 1,2026-08-19,2026-08-20,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-130
LCSP-131,Task,MW-rec-001: Conflict Detection Callback Endpoint,Backlog,LCSP-22,bmad;lcsp;module-reconciliation;module-task;p0;ready-for-dev;story-5-1,LCSP Sprint 3,2026-08-12,2026-08-13,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-131
LCSP-132,Task,MW-rec-002: List Conflicts Endpoint,Backlog,LCSP-22,bmad;lcsp;module-reconciliation;module-task;p0;ready-for-dev;story-5-2,LCSP Sprint 3,2026-08-13,2026-08-14,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-132
LCSP-133,Task,MW-rec-003: Resolve Conflict Endpoint,Backlog,LCSP-22,bmad;lcsp;module-reconciliation;module-task;p0;ready-for-dev;story-5-3,LCSP Sprint 3,2026-08-14,2026-08-14,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-133
LCSP-134,Task,MW-rec-004: VerifiedProfile Callback Endpoint,Backlog,LCSP-22,bmad;lcsp;module-reconciliation;module-task;p0;ready-for-dev;story-5-4,LCSP Sprint 3,2026-08-10,2026-08-11,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-134
LCSP-135,Task,MW-scan-001: Scan Job Status Endpoint,Backlog,LCSP-23,bmad;lcsp;module-scan;module-task;p0;ready-for-dev;story-3-3,LCSP Sprint 2,2026-08-03,2026-08-04,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-135
LCSP-136,Task,MW-scan-002: Scan Job Callback Endpoint,Backlog,LCSP-23,bmad;lcsp;module-scan;module-task;p0;ready-for-dev;story-3-3,LCSP Sprint 2,2026-08-04,2026-08-05,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-136
LCSP-137,Task,MW-scan-003: Re-Run Scan Endpoint,Backlog,LCSP-23,bmad;lcsp;module-scan;module-task;p1;ready-for-dev;story-3-3,LCSP Sprint 2,2026-08-07,2026-08-07,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-137
LCSP-138,Task,MW-web-001: Sign-In Page,Ready For Dev,LCSP-24,bmad;lcsp;module-task;module-web;p0;ready-for-dev;story-1-2,LCSP Sprint 1,2026-07-20,2026-07-21,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-138
LCSP-139,Task,MW-web-002: Workspace Dashboard Page,Ready For Dev,LCSP-24,bmad;lcsp;module-task;module-web;p0;ready-for-dev;story-1-4,LCSP Sprint 1,2026-07-21,2026-07-22,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-139
LCSP-140,Task,MW-web-003: Wizard Form Page,Ready For Dev,LCSP-24,bmad;lcsp;module-task;module-web;p0;ready-for-dev;story-2-2,LCSP Sprint 1,2026-07-30,2026-07-31,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-140
LCSP-141,Task,MW-web-004: Conflict Resolution Page,Backlog,LCSP-24,bmad;lcsp;module-task;module-web;p0;ready-for-dev;story-5-3,LCSP Sprint 3,2026-08-11,2026-08-12,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-141
LCSP-142,Task,MW-web-005: Classification Status Page,Backlog,LCSP-24,bmad;lcsp;module-task;module-web;p1;ready-for-dev;story-7-3,LCSP Sprint 4,2026-08-20,2026-08-20,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-142
LCSP-143,Task,MW-web-006: Document Download Page,Backlog,LCSP-24,bmad;lcsp;module-task;module-web;p1;ready-for-dev;story-7-3,LCSP Sprint 4,2026-08-17,2026-08-18,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-143
LCSP-144,Task,MW-wiz-001: Save Wizard Draft Endpoint,Ready For Dev,LCSP-25,bmad;lcsp;module-task;module-wizard;p0;ready-for-dev;story-2-2,LCSP Sprint 1,2026-07-22,2026-07-23,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-144
LCSP-145,Task,MW-wiz-002: Submit Wizard Endpoint,Ready For Dev,LCSP-25,bmad;lcsp;module-task;module-wizard;p0;ready-for-dev;story-2-2,LCSP Sprint 1,2026-07-23,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-145
LCSP-146,Task,MW-wiz-003: Wizard Readiness State Endpoint,Ready For Dev,LCSP-25,bmad;lcsp;module-task;module-wizard;p0;ready-for-dev;story-2-3,LCSP Sprint 1,2026-07-31,2026-07-31,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-146
LCSP-147,Task,MW-wiz-004: Wizard Readiness Export Endpoint,Ready For Dev,LCSP-25,bmad;lcsp;module-task;module-wizard;p1;ready-for-dev;story-2-4,LCSP Sprint 1,2026-07-27,2026-07-28,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-147
LCSP-148,Epic,Module: legal-rule-catalog,Backlog,,bmad;lcsp;module;module-legal-rule-catalog,,2026-07-16,2026-09-01,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-148
LCSP-149,Task,MW-lrc-001: Legal Rule Catalog Authoring &amp; Approval API,Backlog,LCSP-148,bmad;lcsp;module-legal-rule-catalog;module-task;p1;ready-for-dev;story-6-3,LCSP Sprint 4,2026-07-16,2026-07-17,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-149
