Sprint,Sequence,Theme,Start,End,Jira Key,Issue Type,Task ID,Summary,Assignee,Main Flow,Story,Priority,Status,URL
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-2,Task,MW-aiuf-001,MW-aiuf-001: AIUsageFlow Callback Endpoint,Khovan,true,4.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-2
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-101,Task,MW-intel-002,MW-intel-002: AIUsageFlow Worker,nhibao08,false,4.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-101
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-102,Task,MW-intel-003,MW-intel-003: Conflict Detection Worker,nhibao08,false,5.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-102
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-103,Task,MW-intel-004,MW-intel-004: VerifiedProfile Worker,Nta1210,false,5.4,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-103
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-105,Task,MW-llm-001,MW-llm-001: LLM Gateway Client,anhtunguyen05,false,4.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-105
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-131,Task,MW-rec-001,MW-rec-001: Conflict Detection Callback Endpoint,Khovan,true,5.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-131
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-132,Task,MW-rec-002,MW-rec-002: List Conflicts Endpoint,Nta1210,false,5.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-132
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-133,Task,MW-rec-003,MW-rec-003: Resolve Conflict Endpoint,Nta1210,false,5.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-133
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-134,Task,MW-rec-004,MW-rec-004: VerifiedProfile Callback Endpoint,Nta1210,false,5.4,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-134
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-141,Task,MW-web-004,MW-web-004: Conflict Resolution Page,DthuyInk,false,5.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-141
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-50,Story,,Story 6.1: Ingest Official Legal Source Snapshot,,,6.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-50
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-51,Story,,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,,,6.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-51
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-52,Story,,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,,,6.7,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-52
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-53,Story,,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,,,7.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-53
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-54,Story,,Story 7.5: Validate Classification Citations Against Legal Allowlist,,,7.5,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-54
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-78,Task,MW-cls-001,MW-cls-001: LegalRuleMatch Callback Endpoint,Khovan,true,6.7,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-78
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-79,Task,MW-cls-002,MW-cls-002: Classification Result Callback Endpoint,Khovan,true,7.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-79
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-82,Task,MW-doc-003,MW-doc-003: Get Document Status and Download Endpoint,Khovan,true,7.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-82
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-99,Task,MW-cls-py-001,MW-cls-py-001: Classification Worker,anhtunguyen05,false,6.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-99
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-104,Task,MW-legal-001,MW-legal-001: ChromaDB Legal Retrieval Worker,DthuyInk,false,6.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-104
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-142,Task,MW-web-005,MW-web-005: Classification Status Page,DthuyInk,false,7.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-142
LCSP Sprint 4,4,Legal matching and classification,2026-08-18T00:00:00+07:00,2026-09-01T23:59:59+07:00,LCSP-143,Task,MW-web-006,MW-web-006: Document Download Page,DthuyInk,false,7.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-143
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-55,Story,,Story 8.1: Generate GapAnalysis From Classification and Evidence,,,8.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-55
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-56,Story,,Story 8.3: Generate Guarded Final Report,,,8.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-56
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-57,Story,,Story 8.6: Record Immutable Assessment Audit Trail,,,8.6,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-57
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-58,Story,,Story 8.7: View and Export Redacted Audit Trail,,,8.7,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-58
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-62,Task,MW-aud-001,MW-aud-001: List Audit Events Endpoint,nhibao08,false,8.6,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-62
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-63,Task,MW-aud-002,MW-aud-002: Export Audit Trail Endpoint,nhibao08,false,8.7,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-63
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-80,Task,MW-doc-001,MW-doc-001: Generate Gap Analysis Document,DthuyInk,false,8.1,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-80
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-81,Task,MW-doc-002,MW-doc-002: Generate Final Report Document,DthuyInk,false,8.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-81
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-110,Task,MW-rep-001,MW-rep-001: Gap Analysis Report Worker,anhtunguyen05,false,8.1,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-110
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-111,Task,MW-rep-002,MW-rep-002: Final Report Worker,anhtunguyen05,false,8.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-111
LCSP Sprint 5,5,"Reporting, audit export, final hardening",2026-09-02T00:00:00+07:00,2026-09-16T23:59:59+07:00,LCSP-112,Task,MW-rep-003,MW-rep-003: Audit Export Worker,anhtunguyen05,false,8.7,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-112
